Group	Breeds	ID
DC	Gallus_gallus_domesticus	122S
DC	Gallus_gallus_domesticus	123S
DC	Gallus_gallus_domesticus	124S
DC	Gallus_gallus_domesticus	125S
DC	Gallus_gallus_domesticus	126S
DC	Gallus_gallus_domesticus	127S
DC	Gallus_gallus_domesticus	128S
DC	Gallus_gallus_domesticus	129S
DC	Gallus_gallus_domesticus	12S
DC	Gallus_gallus_domesticus	130S
DC	Gallus_gallus_domesticus	131S
DC	Gallus_gallus_domesticus	132S
DC	Gallus_gallus_domesticus	133S
DC	Gallus_gallus_domesticus	134S
DC	Gallus_gallus_domesticus	135S
DC	Gallus_gallus_domesticus	13S
DC	Gallus_gallus_domesticus	14S
DC	Gallus_gallus_domesticus	15S
DC	Gallus_gallus_domesticus	16S
DC	Gallus_gallus_domesticus	17S
DC	Gallus_gallus_domesticus	18S
DC	Gallus_gallus_domesticus	19S
DC	Gallus_gallus_domesticus	1S
DC	Gallus_gallus_domesticus	20S
DC	Gallus_gallus_domesticus	21S
DC	Gallus_gallus_domesticus	22S
DC	Gallus_gallus_domesticus	23S
DC	Gallus_gallus_domesticus	24S
DC	Gallus_gallus_domesticus	25S
DC	Gallus_gallus_domesticus	26S
DC	Gallus_gallus_domesticus	27S
DC	Gallus_gallus_domesticus	28S
DC	Gallus_gallus_domesticus	29S
DC	Gallus_gallus_domesticus	2S
DC	Gallus_gallus_domesticus	30S
DC	Gallus_gallus_domesticus	31S
DC	Gallus_gallus_domesticus	32S
DC	Gallus_gallus_domesticus	33S
DC	Gallus_gallus_domesticus	35S
DC	Gallus_gallus_domesticus	36S
DC	Gallus_gallus_domesticus	37S
DC	Gallus_gallus_domesticus	38S
DC	Gallus_gallus_domesticus	39S
DC	Gallus_gallus_domesticus	3S
DC	Gallus_gallus_domesticus	40S
DC	Gallus_gallus_domesticus	41S
DC	Gallus_gallus_domesticus	42S
DC	Gallus_gallus_domesticus	43S
DC	Gallus_gallus_domesticus	44S
DC	Gallus_gallus_domesticus	45S
DC	Gallus_gallus_domesticus	46S
DC	Gallus_gallus_domesticus	47S
DC	Gallus_gallus_domesticus	48S
DC	Gallus_gallus_domesticus	49S
DC	Gallus_gallus_domesticus	4S
DC	Gallus_gallus_domesticus	50S
DC	Gallus_gallus_domesticus	51S
DC	Gallus_gallus_domesticus	52S
DC	Gallus_gallus_domesticus	53S
DC	Gallus_gallus_domesticus	54S
DC	Gallus_gallus_domesticus	55S
DC	Gallus_gallus_domesticus	56S
DC	Gallus_gallus_domesticus	57S
DC	Gallus_gallus_domesticus	58S
DC	Gallus_gallus_domesticus	59S
DC	Gallus_gallus_domesticus	5S
DC	Gallus_gallus_domesticus	60S
DC	Gallus_gallus_domesticus	61S
DC	Gallus_gallus_domesticus	62S
DC	Gallus_gallus_domesticus	63S
DC	Gallus_gallus_domesticus	64S
DC	Gallus_gallus_domesticus	65S
DC	Gallus_gallus_domesticus	66S
DC	Gallus_gallus_domesticus	67S
DC	Gallus_gallus_domesticus	68S
DC	Gallus_gallus_domesticus	69S
DC	Gallus_gallus_domesticus	6S
DC	Gallus_gallus_domesticus	70S
DC	Gallus_gallus_domesticus	71S
DC	Gallus_gallus_domesticus	72S
DC	Gallus_gallus_domesticus	73S
DC	Gallus_gallus_domesticus	74S
DC	Gallus_gallus_domesticus	75S
DC	Gallus_gallus_domesticus	76S
DC	Gallus_gallus_domesticus	77S
DC	Gallus_gallus_domesticus	78S
DC	Gallus_gallus_domesticus	79S
DC	Gallus_gallus_domesticus	7S
DC	Gallus_gallus_domesticus	80S
DC	Gallus_gallus_domesticus	81S
DC	Gallus_gallus_domesticus	82S
DC	Gallus_gallus_domesticus	83S
DC	Gallus_gallus_domesticus	84S
DC	Gallus_gallus_domesticus	85S
DC	Gallus_gallus_domesticus	86S
DC	Gallus_gallus_domesticus	87S
DC	Gallus_gallus_domesticus	88S
DC	Gallus_gallus_domesticus	89S
DC	Gallus_gallus_domesticus	90S
DC	Gallus_gallus_domesticus	91S
DC	Gallus_gallus_domesticus	92S
DC	Gallus_gallus_domesticus	93S
DC	Gallus_gallus_domesticus	95S
DC	Gallus_gallus_domesticus	96S
DC	Gallus_gallus_domesticus	97S
DC	Gallus_gallus_domesticus	98S
DC	Gallus_gallus_domesticus	99S
DC	Gallus_gallus_domesticus	9S
DC	Gallus_gallus_domesticus	AN20
DC	Gallus_gallus_domesticus	AN23
DC	Gallus_gallus_domesticus	Anc09
DC	Gallus_gallus_domesticus	Anc11
DC	Gallus_gallus_domesticus	Anc19
DC	Gallus_gallus_domesticus	Anc23
DC	Gallus_gallus_domesticus	Anc24
DC	Gallus_gallus_domesticus	Anc27
DC	Gallus_gallus_domesticus	Anc31
DC	Gallus_gallus_domesticus	Anc33
DC	Gallus_gallus_domesticus	Anc36
DC	Gallus_gallus_domesticus	Anc42
DC	Gallus_gallus_domesticus	AP02
DC	Gallus_gallus_domesticus	AP14
DC	Gallus_gallus_domesticus	AseeL01
DC	Gallus_gallus_domesticus	AseeL02
DC	Gallus_gallus_domesticus	AseeL03
DC	Gallus_gallus_domesticus	AseeL04
DC	Gallus_gallus_domesticus	AseeL05
DC	Gallus_gallus_domesticus	AseeL06
DC	Gallus_gallus_domesticus	AseeL07
DC	Gallus_gallus_domesticus	AseeL08
DC	Gallus_gallus_domesticus	AseeL09
DC	Gallus_gallus_domesticus	AseeL10
DC	Gallus_gallus_domesticus	AseeL11
DC	Gallus_gallus_domesticus	AseeL12
DC	Gallus_gallus_domesticus	AseeL13
DC	Gallus_gallus_domesticus	AseeL14
DC	Gallus_gallus_domesticus	AseeL15
DC	Gallus_gallus_domesticus	AseeL20
DC	Gallus_gallus_domesticus	BARB13
DC	Gallus_gallus_domesticus	BARB17
DC	Gallus_gallus_domesticus	BARD01
DC	Gallus_gallus_domesticus	BARD19
